nohup: ignoring input
Downloading pydantic-core (2.0MiB)
Downloading wandb (26.0MiB)
 Downloaded pydantic-core
 Downloaded wandb
Installed 11 packages in 28ms
{
  "clean_dir": "div2k/div2k_train",
  "val_clean_dir": null,
  "output": "unet_pretrain.pt",
  "checkpoint_dir": "unet_pretrain/checkpoints",
  "epochs": 100,
  "batch_size": 8,
  "crop_size": 256,
  "noise_sigma": 25.0,
  "lr": 0.0001,
  "weight_decay": 0.0,
  "val_fraction": 0.05,
  "num_workers": 4,
  "seed": 42,
  "save_every": 5
}
train images: 760 | val images: 40
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: kidflash7011 (kidflash7011-chenchi-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jlwt3ny6
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /home/ubuntu/IP_F/project/wandb/run-20260527_111855-jlwt3ny6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run unet-pretrain-001
wandb: ⭐️ View project at https://wandb.ai/kidflash7011-chenchi-university/ip-final-project
[epoch 038/100] train_mse=0.001480 train_psnr=28.30dB val_mse=0.001827 val_psnr=27.38dB
[epoch 039] step 0001/0095 train_mse=0.001407 psnr=28.52dB
[epoch 039] step 0020/0095 train_mse=0.001288 psnr=28.90dB
[epoch 039] step 0040/0095 train_mse=0.001205 psnr=29.19dB
[epoch 039] step 0060/0095 train_mse=0.001708 psnr=27.68dB
[epoch 039] step 0080/0095 train_mse=0.001716 psnr=27.66dB
[epoch 039/100] train_mse=0.001438 train_psnr=28.42dB val_mse=0.001831 val_psnr=27.37dB
[epoch 040] step 0001/0095 train_mse=0.001382 psnr=28.59dB
[epoch 040] step 0020/0095 train_mse=0.001638 psnr=27.86dB
[epoch 040] step 0040/0095 train_mse=0.001453 psnr=28.38dB
[epoch 040] step 0060/0095 train_mse=0.001039 psnr=29.84dB
[epoch 040] step 0080/0095 train_mse=0.001517 psnr=28.19dB
[epoch 040/100] train_mse=0.001387 train_psnr=28.58dB val_mse=0.001762 val_psnr=27.54dB
[epoch 041] step 0001/0095 train_mse=0.002133 psnr=26.71dB
[epoch 041] step 0020/0095 train_mse=0.002014 psnr=26.96dB
[epoch 041] step 0040/0095 train_mse=0.001218 psnr=29.14dB
[epoch 041] step 0060/0095 train_mse=0.001571 psnr=28.04dB
[epoch 041] step 0080/0095 train_mse=0.001333 psnr=28.75dB
[epoch 041/100] train_mse=0.001392 train_psnr=28.56dB val_mse=0.001779 val_psnr=27.50dB
[epoch 042] step 0001/0095 train_mse=0.001165 psnr=29.34dB
[epoch 042] step 0020/0095 train_mse=0.001554 psnr=28.09dB
[epoch 042] step 0040/0095 train_mse=0.000986 psnr=30.06dB
[epoch 042] step 0060/0095 train_mse=0.001532 psnr=28.15dB
[epoch 042] step 0080/0095 train_mse=0.001377 psnr=28.61dB
[epoch 042/100] train_mse=0.001392 train_psnr=28.57dB val_mse=0.001701 val_psnr=27.69dB
[epoch 043] step 0001/0095 train_mse=0.001556 psnr=28.08dB
[epoch 043] step 0020/0095 train_mse=0.001421 psnr=28.47dB
[epoch 043] step 0040/0095 train_mse=0.001935 psnr=27.13dB
[epoch 043] step 0060/0095 train_mse=0.000850 psnr=30.71dB
[epoch 043] step 0080/0095 train_mse=0.001426 psnr=28.46dB
[epoch 043/100] train_mse=0.001344 train_psnr=28.72dB val_mse=0.001706 val_psnr=27.68dB
[epoch 044] step 0001/0095 train_mse=0.001205 psnr=29.19dB
[epoch 044] step 0020/0095 train_mse=0.001682 psnr=27.74dB
[epoch 044] step 0040/0095 train_mse=0.001380 psnr=28.60dB
